state,county,population,date,type,value,lat,long
NJ,Morris,494228,2020-03-22,deaths,1,40.86095313,-74.5455371
NJ,Ocean,601651,2020-03-22,cases,102,39.8895449,-74.28089251
NJ,Ocean,601651,2020-03-22,deaths,1,39.8895449,-74.28089251
NJ,Passaic,503310,2020-03-22,cases,95,41.03238628,-74.29954144
NJ,Passaic,503310,2020-03-22,deaths,0,41.03238628,-74.29954144
NJ,Somerset,331164,2020-03-22,cases,51,40.56465737,-74.61683016
NJ,Somerset,331164,2020-03-22,deaths,0,40.56465737,-74.61683016
NJ,Mercer,369811,2020-03-22,cases,40,40.28047017,-74.70479631
NJ,Mercer,369811,2020-03-22,deaths,0,40.28047017,-74.70479631
NJ,Burlington,445384,2020-03-22,cases,26,39.87681124,-74.66927768
NJ,Burlington,445384,2020-03-22,deaths,0,39.87681124,-74.66927768
NJ,Camden,507078,2020-03-22,cases,22,39.80343818,-74.96388753
NJ,Camden,507078,2020-03-22,deaths,0,39.80343818,-74.96388753
NJ,Hunterdon,124714,2020-03-22,cases,16,40.56335249,-74.91284156
NJ,Hunterdon,124714,2020-03-22,deaths,0,40.56335249,-74.91284156
NJ,Sussex,140799,2020-03-22,cases,12,41.13891592,-74.69118243
NJ,Sussex,140799,2020-03-22,deaths,0,41.13891592,-74.69118243
NJ,Warren,105779,2020-03-22,cases,9,40.85951833,-74.99556527
NJ,Warren,105779,2020-03-22,deaths,0,40.85951833,-74.99556527
NJ,Gloucester,291408,2020-03-22,cases,8,39.71581067,-75.13995546
NJ,Gloucester,291408,2020-03-22,deaths,0,39.71581067,-75.13995546
NJ,Atlantic,265429,2020-03-22,cases,5,39.47538693,-74.65848483
NJ,Atlantic,265429,2020-03-22,deaths,0,39.47538693,-74.65848483
NJ,Cape May,92560,2020-03-22,cases,2,39.15008829,-74.80170244
NJ,Cape May,92560,2020-03-22,deaths,0,39.15008829,-74.80170244
NJ,Cumberland,150972,2020-03-22,cases,1,39.37199394,-75.10712559
NJ,Cumberland,150972,2020-03-22,deaths,0,39.37199394,-75.10712559
NJ,Salem,62607,2020-03-22,cases,1,39.58719656,-75.3469663
NJ,Salem,62607,2020-03-22,deaths,0,39.58719656,-75.3469663
CA,Los Angeles,10105518,2020-03-22,cases,407,34.30828379,-118.2282411
CA,Los Angeles,10105518,2020-03-22,deaths,5,34.30828379,-118.2282411
CA,Santa Clara,1937570,2020-03-22,cases,263,37.23104908,-121.6970462
CA,Santa Clara,1937570,2020-03-22,deaths,8,37.23104908,-121.6970462
CA,San Diego,3343364,2020-03-22,cases,155,33.03484597,-116.7365326
CA,San Diego,3343364,2020-03-22,deaths,0,33.03484597,-116.7365326
CA,San Mateo,769545,2020-03-22,cases,117,37.4228808,-122.3275546
CA,San Mateo,769545,2020-03-22,deaths,1,37.4228808,-122.3275546
CA,San Francisco,883305,2020-03-22,cases,108,37.75215114,-122.4385672
CA,San Francisco,883305,2020-03-22,deaths,0,37.75215114,-122.4385672
CA,Orange,3185968,2020-03-22,cases,95,33.70147516,-117.7645998
CA,Orange,3185968,2020-03-22,deaths,0,33.70147516,-117.7645998
CA,Alameda,1666753,2020-03-22,cases,71,37.64629437,-121.8929271
CA,Alameda,1666753,2020-03-22,deaths,0,37.64629437,-121.8929271
CA,Contra Costa,1150215,2020-03-22,cases,61,37.91923498,-121.9289527
CA,Contra Costa,1150215,2020-03-22,deaths,1,37.91923498,-121.9289527
CA,Sacramento,1540975,2020-03-22,cases,53,38.45106826,-121.3425374
CA,Sacramento,1540975,2020-03-22,deaths,3,38.45106826,-121.3425374
CA,Marin,259666,2020-03-22,cases,38,38.07122463,-122.7210631
CA,Marin,259666,2020-03-22,deaths,0,38.07122463,-122.7210631
CA,San Joaquin,752660,2020-03-22,cases,31,37.93433732,-121.2730061
CA,San Joaquin,752660,2020-03-22,deaths,2,37.93433732,-121.2730061
CA,Riverside,2450758,2020-03-22,cases,29,33.74314981,-115.9933578
CA,Riverside,2450758,2020-03-22,deaths,6,33.74314981,-115.9933578
CA,San Luis Obispo,284010,2020-03-22,cases,27,35.38822029,-120.4039028
CA,San Luis Obispo,284010,2020-03-22,deaths,0,35.38822029,-120.4039028
CA,Ventura,850967,2020-03-22,cases,25,34.44465746,-119.0910613
CA,Ventura,850967,2020-03-22,deaths,0,34.44465746,-119.0910613
CA,Sonoma,499942,2020-03-22,cases,22,38.52746429,-122.8862506
CA,Sonoma,499942,2020-03-22,deaths,1,38.52746429,-122.8862506
CA,San Bernardino,2171603,2020-03-22,cases,17,34.84060306,-116.1774685
CA,San Bernardino,2171603,2020-03-22,deaths,0,34.84060306,-116.1774685
