date,state,positive,negative,pending,hospitalized,death,total,dateChecked,totalTestResults,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,population,region,pos100k,death100k
2020-03-16,NM,17,566,,,,583,2020-03-16T20:00:00Z,583,0,0,84,4,88,2096829,w,0.810748039062794,
2020-03-16,NV,45,168,,,1,213,2020-03-16T20:00:00Z,213,1,0,0,24,24,3080156,w,1.46096496411221,0.0324658880913824
2020-03-16,NY,950,4543,,,7,5493,2020-03-16T20:00:00Z,5493,4,0,0,221,221,19453561,ne,4.88342468507437,0.0359831292584427
2020-03-16,OH,50,140,361,,,551,2020-03-16T20:00:00Z,190,0,0,1,14,15,11689100,mw,0.427748928488934,
2020-03-16,OK,10,174,29,,,213,2020-03-16T20:00:00Z,184,0,0,56,1,57,3956971,s,0.252718556693996,
2020-03-16,OR,39,579,182,,,800,2020-03-16T20:00:00Z,618,0,0,159,3,162,4217737,w,0.924666473988302,
2020-03-16,PA,76,670,,,,746,2020-03-16T20:00:00Z,746,0,0,465,13,478,12801989,ne,0.593657751151013,
2020-03-16,PR,5,9,,,,14,2020-03-16T20:00:00Z,14,,,,,,3193694,i,0.15655851812979,
2020-03-16,RI,21,308,149,,,478,2020-03-16T20:00:00Z,329,0,0,110,1,111,1059361,ne,1.98232708208061,
2020-03-16,SC,28,235,,,1,263,2020-03-16T20:00:00Z,263,1,0,81,9,90,5148714,s,0.543825118272252,0.0194223256525804
